,Class
2998,7
2999,8
3000,9
3001,2
3002,9
3003,4
3004,1
3005,1
3006,2
3007,3
3008,4
3009,3
3010,2
3011,8
3012,8
3013,1
3014,3
3015,9
3016,3
3017,8
3018,9
3019,1
3020,2
3021,3
3022,3
3023,8
3024,2
3025,2
3026,3
3027,3
3028,3
3029,1
3030,3
3031,8
3032,1
3033,3
3034,7
3035,2
3036,2
3037,4
3038,8
3039,6
3040,3
3041,2
3042,2
3043,4
3044,8
3045,8
3046,2
3047,3
3048,3
3049,2
3050,9
3051,1
3052,3
3053,1
3054,8
3055,9
3056,1
3057,2
3058,2
3059,2
3060,2
3061,6
3062,2
3063,3
3064,7
3065,2
3066,2
3067,3
3068,9
3069,6
3070,3
3071,2
3072,3
3073,1
3074,2
3075,3
3076,1
3077,2
3078,3
3079,8
3080,6
3081,8
3082,2
3083,3
3084,3
3085,3
3086,3
3087,2
3088,3
3089,3
3090,2
3091,2
3092,4
3093,3
3094,2
3095,2
3096,3
3097,3
3098,9
3099,2
3100,2
3101,6
3102,2
3103,2
3104,3
3105,3
3106,9
3107,6
3108,1
3109,2
3110,3
3111,4
3112,9
3113,7
3114,1
3115,3
3116,2
3117,9
3118,2
3119,1
3120,9
3121,8
3122,3
3123,1
3124,2
3125,4
3126,3
3127,4
3128,6
3129,5
3130,3
3131,6
3132,1
3133,6
3134,9
3135,6
3136,3
3137,4
3138,3
3139,9
3140,3
3141,1
3142,1
3143,3
3144,2
3145,1
3146,1
3147,3
3148,2
3149,6
3150,3
3151,2
3152,3
3153,6
3154,3
3155,2
3156,2
3157,2
3158,6
3159,9
3160,1
3161,3
3162,3
3163,3
3164,1
3165,9
3166,8
3167,8
3168,2
3169,2
3170,3
3171,2
3172,2
3173,3
3174,6
3175,1
3176,8
3177,9
3178,1
3179,3
3180,8
3181,9
3182,3
3183,2
3184,2
3185,9
3186,6
3187,2
3188,9
3189,9
3190,1
3191,6
3192,9
3193,1
3194,2
3195,3
3196,1
3197,2
3198,1
3199,2
3200,9
3201,3
3202,8
3203,3
3204,1
3205,3
3206,9
3207,7
3208,4
3209,3
3210,2
3211,3
3212,2
3213,3
3214,2
3215,2
3216,1
3217,2
3218,2
3219,2
3220,3
3221,1
3222,1
3223,3
3224,1
3225,3
3226,8
3227,3
3228,8
3229,2
3230,2
3231,8
3232,1
3233,8
3234,2
3235,9
3236,3
3237,7
3238,2
3239,9
3240,9
3241,2
3242,4
3243,8
3244,4
3245,4
3246,9
3247,3
3248,9
3249,4
3250,7
3251,2
3252,2
3253,6
3254,9
3255,1
3256,6
3257,2
3258,2
3259,3
3260,3
3261,1
3262,3
3263,3
3264,8
3265,1
3266,3
3267,2
3268,4
3269,9
3270,4
3271,8
3272,6
3273,2
3274,9
3275,1
3276,8
3277,3
3278,8
3279,9
3280,2
3281,1
3282,2
3283,7
3284,6
3285,3
3286,2
3287,1
3288,2
3289,6
3290,3
3291,9
3292,3
3293,2
3294,8
3295,8
3296,8
3297,2
3298,2
3299,3
3300,2
3301,1
3302,8
3303,3
3304,1
3305,1
3306,3
3307,3
3308,3
3309,2
3310,3
3311,2
3312,1
3313,1
3314,1
3315,8
3316,2
3317,2
3318,8
3319,8
3320,9
3321,8
3322,3
3323,1
3324,6
3325,8
3326,3
3327,9
3328,1
3329,1
3330,8
3331,6
3332,2
3333,2
3334,3
3335,8
3336,6
3337,8
3338,1
3339,1
3340,4
3341,6
3342,4
3343,2
3344,2
3345,3
3346,6
3347,8
3348,2
3349,3
3350,2
3351,1
3352,4
3353,8
3354,1
3355,2
3356,4
3357,3
3358,7
3359,3
3360,4
3361,2
3362,4
3363,9
3364,9
3365,1
3366,6
3367,2
3368,8
3369,1
3370,2
3371,8
3372,2
3373,1
3374,8
3375,3
3376,2
3377,8
3378,2
3379,3
3380,3
3381,3
3382,1
3383,3
3384,2
3385,1
3386,3
3387,3
3388,3
3389,1
3390,2
3391,6
3392,6
3393,8
3394,3
3395,3
3396,6
3397,3
3398,9
3399,1
3400,2
3401,8
3402,3
3403,1
3404,3
3405,3
3406,3
3407,3
3408,9
3409,8
3410,2
3411,2
3412,1
3413,2
3414,3
3415,8
3416,2
3417,3
3418,4
3419,3
3420,9
3421,8
3422,2
3423,2
3424,3
3425,3
3426,3
3427,2
3428,9
3429,3
3430,3
3431,8
3432,2
3433,9
3434,1
3435,3
3436,3
3437,2
3438,1
3439,2
3440,1
3441,3
3442,6
3443,3
3444,3
3445,9
3446,3
3447,4
3448,3
3449,8
3450,9
3451,3
3452,1
3453,4
3454,1
3455,3
3456,8
3457,6
3458,1
3459,2
3460,9
3461,3
3462,8
3463,3
3464,1
3465,1
3466,8
3467,1
3468,1
3469,2
3470,3
3471,1
3472,3
3473,2
3474,7
3475,2
3476,2
3477,1
3478,1
3479,3
3480,2
3481,1
3482,4
3483,9
3484,8
3485,2
3486,7
3487,1
3488,3
3489,2
3490,2
3491,8
3492,6
3493,3
3494,9
3495,2
3496,3
3497,3
3498,3
3499,8
3500,3
3501,6
3502,3
3503,6
3504,9
3505,9
3506,2
3507,6
3508,1
3509,3
3510,3
3511,1
3512,3
3513,1
3514,2
3515,9
3516,7
3517,1
3518,9
3519,8
3520,9
3521,1
3522,9
3523,3
3524,8
3525,3
3526,3
3527,2
3528,9
3529,3
3530,2
3531,3
3532,3
3533,8
3534,8
3535,8
3536,1
3537,6
3538,8
3539,8
3540,2
3541,3
3542,3
3543,1
3544,8
3545,2
3546,1
3547,3
3548,9
3549,3
3550,9
3551,1
3552,4
3553,1
3554,2
3555,8
3556,9
3557,3
3558,9
3559,3
3560,8
3561,7
3562,2
3563,2
3564,2
3565,3
3566,4
3567,9
3568,3
3569,1
3570,8
3571,1
3572,1
3573,3
3574,1
3575,3
3576,8
3577,1
3578,7
3579,8
3580,2
3581,3
3582,4
3583,3
3584,1
3585,7
3586,7
3587,2
3588,8
3589,2
3590,4
3591,7
3592,3
3593,2
3594,3
3595,8
3596,9
3597,2
3598,1
3599,3
3600,2
3601,6
3602,3
3603,6
3604,1
3605,3
3606,6
3607,3
3608,3
3609,3
3610,6
3611,9
3612,9
3613,1
3614,9
3615,3
3616,9
3617,4
3618,3
3619,7
3620,9
3621,1
3622,6
3623,2
3624,2
3625,1
3626,1
3627,3
3628,6
3629,8
3630,3
3631,2
3632,3
3633,3
3634,6
3635,3
3636,2
3637,2
3638,3
3639,4
3640,7
3641,3
3642,2
3643,3
3644,1
3645,7
3646,3
3647,2
3648,3
3649,2
3650,2
3651,8
3652,3
3653,8
3654,6
3655,2
3656,3
3657,1
3658,8
3659,9
3660,1
3661,3
3662,1
3663,3
3664,6
3665,2
3666,9
3667,8
3668,7
3669,3
3670,2
3671,1
3672,6
3673,1
3674,2
3675,1
3676,7
3677,6
3678,2
3679,3
3680,3
3681,3
3682,3
3683,2
3684,8
3685,5
3686,2
3687,3
3688,3
3689,2
3690,3
3691,3
3692,2
3693,3
3694,2
3695,8
3696,2
3697,4
3698,9
3699,9
3700,8
3701,9
3702,6
3703,2
3704,3
3705,8
3706,3
3707,9
3708,8
3709,1
3710,3
3711,2
3712,1
3713,8
3714,2
3715,2
3716,3
3717,2
3718,1
3719,2
3720,3
3721,1
3722,3
3723,1
3724,3
3725,2
3726,3
3727,3
3728,2
3729,3
3730,3
3731,3
3732,9
3733,8
3734,6
3735,8
3736,6
3737,3
3738,8
3739,3
3740,3
3741,4
3742,8
3743,1
3744,1
3745,3
3746,2
3747,1
3748,2
3749,1
3750,8
3751,1
3752,6
3753,1
3754,2
3755,3
3756,2
3757,6
3758,1
3759,6
3760,2
3761,9
3762,2
3763,1
3764,6
3765,3
3766,1
3767,4
3768,3
3769,2
3770,8
3771,2
3772,1
3773,3
3774,2
3775,9
3776,9
3777,2
3778,3
3779,3
3780,3
3781,3
3782,9
3783,8
3784,3
3785,4
3786,2
3787,9
3788,8
3789,2
3790,8
3791,2
3792,2
3793,3
3794,3
3795,1
3796,9
3797,3
3798,3
3799,9
3800,8
3801,2
3802,8
3803,8
3804,7
3805,8
3806,1
3807,2
3808,8
3809,3
3810,2
3811,7
3812,8
3813,3
3814,2
3815,1
3816,1
3817,6
3818,3
3819,2
3820,6
3821,3
3822,6
3823,6
3824,8
3825,2
3826,3
3827,3
3828,8
3829,9
3830,1
3831,1
3832,9
3833,3
3834,7
3835,2
3836,2
3837,1
3838,3
3839,3
3840,2
3841,8
3842,8
3843,6
3844,3
3845,1
3846,3
3847,2
3848,8
3849,1
3850,8
3851,2
3852,3
3853,1
3854,2
3855,3
3856,3
3857,2
3858,1
3859,3
3860,2
3861,6
3862,3
3863,4
3864,4
3865,2
3866,1
3867,3
3868,3
3869,9
3870,9
3871,1
3872,2
3873,2
3874,1
3875,2
3876,9
3877,3
3878,8
3879,8
3880,6
3881,2
3882,3
3883,4
3884,9
3885,1
3886,2
3887,3
3888,8
3889,9
3890,3
3891,3
3892,3
3893,2
3894,2
3895,6
3896,2
3897,4
3898,8
3899,3
3900,8
3901,9
3902,8
3903,9
3904,7
3905,4
3906,2
3907,6
3908,6
3909,3
3910,1
3911,1
3912,6
3913,3
3914,1
3915,3
3916,7
3917,3
3918,3
3919,1
3920,3
3921,2
3922,7
3923,9
3924,9
3925,6
3926,3
3927,8
3928,7
3929,3
3930,2
3931,3
3932,9
3933,2
3934,8
3935,7
3936,1
3937,2
3938,8
3939,6
3940,2
3941,1
3942,1
3943,4
3944,3
3945,8
3946,9
3947,3
3948,8
3949,6
3950,3
3951,6
3952,1
3953,8
3954,3
3955,9
3956,3
3957,1
3958,2
3959,9
3960,1
3961,2
3962,7
3963,2
3964,2
3965,2
3966,2
3967,8
3968,2
3969,8
3970,2
3971,3
3972,3
3973,3
3974,1
3975,8
3976,3
3977,9
3978,2
3979,9
3980,2
3981,1
3982,3
3983,1
3984,4
3985,9
3986,2
3987,1
3988,3
3989,2
3990,2
3991,3
3992,4
3993,6
3994,3
3995,3
3996,2
3997,9
3998,3
3999,3
4000,3
4001,2
4002,2
4003,3
4004,2
4005,3
4006,9
4007,1
4008,3
4009,1
4010,6
4011,3
4012,5
4013,1
4014,9
4015,1
4016,3
4017,3
4018,3
4019,3
4020,1
4021,2
4022,2
4023,8
4024,3
4025,3
4026,1
4027,2
4028,2
4029,2
4030,3
4031,7
4032,6
4033,3
4034,1
4035,3
4036,4
4037,3
4038,8
4039,6
4040,2
4041,2
4042,3
4043,2
4044,1
4045,1
4046,6
4047,3
4048,3
4049,3
4050,8
4051,3
4052,9
4053,2
4054,8
4055,8
4056,6
4057,2
4058,1
4059,2
4060,8
4061,6
4062,1
4063,2
4064,3
4065,8
4066,8
4067,9
4068,3
4069,6
4070,8
4071,3
4072,1
4073,7
4074,1
4075,6
4076,3
4077,2
4078,2
4079,3
4080,2
4081,3
4082,3
4083,2
4084,6
4085,2
4086,1
4087,2
4088,2
4089,6
4090,8
4091,3
4092,9
4093,2
4094,8
4095,9
4096,3
4097,9
4098,8
4099,2
4100,3
4101,3
4102,3
4103,9
4104,4
4105,1
4106,1
4107,2
4108,3
4109,1
4110,3
4111,2
4112,3
4113,9
4114,2
4115,4
4116,2
4117,6
4118,1
4119,7
4120,2
4121,1
4122,3
4123,3
4124,3
4125,3
4126,9
4127,2
4128,2
4129,7
4130,2
4131,8
4132,2
4133,3
4134,3
4135,8
4136,1
4137,3
4138,7
4139,1
4140,8
4141,1
4142,6
4143,2
4144,9
4145,7
4146,1
4147,2
4148,3
4149,6
4150,3
4151,3
4152,1
4153,3
4154,2
4155,4
4156,8
4157,3
4158,1
4159,3
4160,1
4161,7
4162,3
4163,9
4164,1
4165,4
4166,9
4167,8
4168,8
4169,9
4170,3
4171,3
4172,8
4173,1
4174,6
4175,1
4176,2
4177,2
4178,2
4179,9
4180,1
4181,8
4182,6
4183,3
4184,3
4185,9
4186,1
4187,3
4188,3
4189,3
4190,9
4191,2
4192,9
4193,3
4194,3
4195,3
4196,2
4197,9
4198,3
4199,4
4200,6
4201,2
4202,3
4203,6
4204,2
4205,9
4206,3
4207,9
4208,6
4209,9
4210,9
4211,2
4212,1
4213,1
4214,2
4215,1
4216,3
4217,8
4218,2
4219,3
4220,3
4221,8
4222,1
4223,2
4224,2
4225,3
4226,3
4227,1
4228,5
4229,2
4230,3
4231,8
4232,1
4233,3
4234,1
4235,3
4236,4
4237,2
4238,8
4239,3
4240,5
4241,1
4242,1
4243,3
4244,1
4245,3
4246,1
4247,2
4248,4
4249,2
4250,1
4251,3
4252,3
4253,3
4254,1
4255,6
4256,9
4257,2
4258,3
4259,1
4260,3
4261,2
4262,2
4263,1
4264,9
4265,3
4266,9
4267,3
4268,8
4269,1
4270,1
4271,3
4272,9
4273,3
4274,8
4275,3
4276,3
4277,8
4278,3
4279,3
4280,1
4281,1
4282,2
4283,4
4284,1
4285,9
4286,4
4287,2
4288,9
4289,1
4290,2
4291,6
4292,3
4293,2
4294,3
4295,3
4296,1
4297,1
4298,2
4299,2
4300,3
4301,3
4302,9
4303,3
4304,3
4305,8
4306,1
4307,2
4308,1
4309,1
4310,8
4311,8
4312,2
4313,2
4314,9
4315,6
4316,9
4317,3
4318,3
4319,2
4320,9
4321,2
4322,3
4323,2
4324,9
4325,3
4326,7
4327,2
4328,3
4329,9
4330,3
4331,9
4332,4
4333,2
4334,3
4335,2
4336,9
4337,3
4338,3
4339,7
4340,6
4341,1
4342,3
4343,3
4344,9
4345,2
4346,7
4347,7
4348,2
4349,2
4350,9
4351,2
4352,6
4353,3
4354,9
4355,7
4356,2
4357,3
4358,3
4359,3
4360,3
4361,3
4362,8
4363,3
4364,3
4365,3
4366,9
4367,3
4368,2
4369,3
4370,3
4371,2
4372,2
4373,3
4374,1
4375,9
4376,6
4377,2
4378,1
4379,3
4380,8
4381,6
4382,8
4383,3
4384,8
4385,1
4386,2
4387,8
4388,1
4389,2
4390,2
4391,3
4392,2
4393,3
4394,3
4395,1
4396,2
4397,8
4398,4
4399,9
4400,1
4401,3
4402,7
4403,1
4404,3
4405,2
4406,3
4407,5
4408,8
4409,2
4410,3
4411,1
4412,2
4413,9
4414,8
4415,8
4416,2
4417,3
4418,3
4419,1
4420,1
4421,2
4422,3
4423,2
4424,3
4425,1
4426,9
4427,1
4428,2
4429,1
4430,1
4431,3
4432,8
4433,8
4434,1
4435,2
4436,1
4437,2
4438,2
4439,9
4440,7
4441,9
4442,9
4443,1
4444,1
4445,4
4446,2
4447,1
4448,4
4449,9
4450,2
4451,3
4452,9
4453,1
4454,3
4455,2
4456,2
4457,9
4458,2
4459,4
4460,3
4461,7
4462,2
4463,9
4464,9
4465,2
4466,6
4467,3
4468,3
4469,9
4470,8
4471,6
4472,3
4473,3
4474,8
4475,1
4476,3
4477,9
4478,1
4479,8
4480,3
4481,8
4482,3
4483,2
4484,3
4485,5
4486,3
4487,3
4488,2
4489,1
4490,2
4491,3
4492,2
4493,7
4494,3
4495,3
4496,3
4497,4
4498,3
4499,1
4500,3
4501,8
4502,2
4503,3
4504,2
4505,2
4506,6
4507,6
4508,2
4509,3
4510,3
4511,3
4512,6
4513,2
4514,6
4515,9
4516,8
4517,3
4518,1
4519,8
4520,9
4521,1
4522,3
4523,8
4524,8
4525,8
4526,1
4527,3
4528,3
4529,2
4530,3
4531,8
4532,3
4533,1
4534,3
4535,1
4536,7
4537,3
4538,1
4539,7
4540,3
4541,9
4542,8
4543,1
4544,3
4545,3
4546,3
4547,2
4548,1
4549,1
4550,9
4551,2
4552,3
4553,7
4554,6
4555,1
4556,9
4557,2
4558,1
4559,3
4560,8
4561,2
4562,2
4563,4
4564,8
4565,1
4566,8
4567,2
4568,3
4569,6
4570,8
4571,6
4572,9
4573,2
4574,8
4575,8
4576,9
4577,3
4578,8
4579,3
4580,3
4581,4
4582,3
4583,3
4584,3
4585,1
4586,7
4587,9
4588,9
4589,3
4590,2
4591,2
4592,3
4593,2
4594,8
4595,7
4596,8
4597,2
4598,1
4599,3
4600,2
4601,1
4602,1
4603,1
4604,3
4605,8
4606,3
4607,3
4608,3
4609,1
4610,2
4611,3
4612,2
4613,1
4614,3
4615,3
4616,3
4617,9
4618,3
4619,1
4620,3
4621,6
4622,9
4623,9
4624,2
4625,1
4626,9
4627,2
4628,1
4629,6
4630,6
4631,3
4632,1
4633,8
4634,2
4635,1
4636,2
4637,3
4638,3
4639,1
4640,8
4641,1
4642,1
4643,1
4644,6
4645,6
4646,3
4647,2
4648,7
4649,8
4650,7
4651,3
4652,1
4653,2
4654,2
4655,9
4656,9
4657,2
4658,4
4659,6
4660,1
4661,6
4662,4
4663,7
4664,7
4665,6
4666,9
4667,4
4668,8
4669,8
4670,3
4671,3
4672,8
4673,6
4674,2
4675,6
4676,9
4677,2
4678,2
4679,3
4680,2
4681,3
4682,6
4683,3
4684,2
4685,6
4686,1
4687,9
4688,2
4689,2
4690,1
4691,2
4692,1
4693,9
4694,1
4695,2
4696,3
4697,2
4698,2
4699,1
4700,3
4701,4
4702,8
4703,2
4704,7
4705,2
4706,8
4707,3
4708,3
4709,3
4710,9
4711,1
4712,1
4713,3
4714,1
4715,2
4716,2
4717,7
4718,2
4719,6
4720,8
4721,4
4722,8
4723,4
4724,3
4725,4
4726,3
4727,9
4728,3
4729,2
4730,3
4731,1
4732,2
4733,4
4734,1
4735,8
4736,9
4737,1
4738,3
4739,2
4740,1
4741,2
4742,6
4743,6
4744,3
4745,1
4746,6
4747,3
4748,8
4749,2
4750,8
4751,9
4752,2
4753,1
4754,3
4755,1
4756,3
4757,8
4758,6
4759,3
4760,8
4761,3
4762,3
4763,6
4764,8
4765,3
4766,8
4767,9
4768,3
4769,3
4770,3
4771,3
4772,7
4773,3
4774,2
4775,3
4776,3
4777,3
4778,3
4779,3
4780,3
4781,1
4782,2
4783,3
4784,4
4785,3
4786,3
4787,6
4788,2
4789,3
4790,8
4791,3
4792,2
4793,1
4794,9
4795,1
4796,8
4797,2
4798,2
4799,4
4800,2
4801,8
4802,2
4803,3
4804,2
4805,3
4806,2
4807,2
4808,3
4809,1
4810,9
4811,2
4812,1
4813,2
4814,1
4815,4
4816,1
4817,6
4818,3
4819,3
4820,3
4821,3
4822,2
4823,4
4824,2
4825,6
4826,1
4827,7
4828,2
4829,8
4830,3
4831,2
4832,4
4833,9
4834,1
4835,3
4836,3
4837,1
4838,3
4839,3
4840,3
4841,3
4842,9
4843,9
4844,9
4845,3
4846,3
4847,3
4848,3
4849,1
4850,3
4851,7
4852,6
4853,3
4854,1
4855,2
4856,2
4857,2
4858,3
4859,3
4860,2
4861,3
4862,1
4863,1
4864,2
4865,6
4866,3
4867,3
4868,2
4869,3
4870,9
4871,8
4872,2
4873,8
4874,2
4875,1
4876,8
4877,2
4878,4
4879,6
4880,2
4881,9
4882,2
4883,2
4884,2
4885,2
4886,3
4887,1
4888,7
4889,2
4890,2
4891,3
4892,9
4893,3
4894,1
4895,3
4896,2
4897,8
4898,2
4899,3
4900,2
4901,9
4902,8
4903,2
4904,3
4905,9
4906,3
4907,2
4908,7
4909,2
4910,3
4911,9
4912,6
4913,8
4914,2
4915,1
4916,8
4917,4
4918,3
4919,3
4920,2
4921,3
4922,3
4923,3
4924,2
4925,1
4926,1
4927,2
4928,3
4929,1
4930,2
4931,1
4932,1
4933,3
4934,7
4935,8
4936,2
4937,3
4938,3
4939,3
4940,9
4941,3
4942,2
4943,6
4944,3
4945,2
4946,2
4947,1
4948,2
4949,9
4950,3
4951,2
4952,1
4953,1
4954,3
4955,1
4956,9
4957,1
4958,3
4959,8
4960,2
4961,2
4962,3
4963,3
4964,8
4965,3
4966,3
4967,8
4968,3
4969,6
4970,3
4971,7
4972,2
4973,1
4974,8
4975,2
4976,8
4977,9
4978,3
4979,2
4980,1
4981,2
4982,1
4983,3
4984,3
4985,1
4986,9
4987,9
4988,2
4989,2
4990,3
4991,1
4992,3
4993,2
4994,2
4995,7
4996,9
4997,2
4998,2
4999,8
5000,8
5001,2
5002,1
5003,9
5004,3
5005,8
5006,1
5007,1
5008,4
5009,3
5010,1
5011,2
5012,8
5013,1
5014,2
5015,2
5016,7
5017,1
5018,1
5019,3
5020,9
5021,6
5022,2
5023,8
5024,2
5025,3
5026,3
5027,8
5028,2
5029,3
5030,2
5031,1
5032,4
5033,3
5034,9
5035,8
5036,2
5037,9
5038,3
5039,9
5040,3
5041,8
5042,2
5043,9
5044,1
5045,6
5046,4
5047,2
5048,3
5049,6
5050,1
5051,3
5052,2
5053,3
5054,9
5055,3
5056,6
5057,3
5058,3
5059,3
5060,3
5061,1
5062,2
5063,2
5064,9
5065,1
5066,8
5067,3
5068,3
5069,2
5070,3
5071,3
5072,2
5073,3
5074,3
5075,4
5076,3
5077,7
5078,6
5079,6
5080,2
5081,2
5082,6
5083,3
5084,8
5085,8
5086,1
5087,2
5088,2
5089,3
5090,1
5091,2
5092,2
5093,2
5094,2
5095,6
5096,6
5097,3
5098,8
5099,3
5100,9
5101,4
5102,6
5103,9
5104,7
5105,3
5106,3
5107,3
5108,8
5109,3
5110,4
5111,6
5112,8
5113,2
5114,2
5115,1
5116,1
5117,2
5118,7
5119,1
5120,3
5121,9
5122,4
5123,6
5124,3
5125,3
5126,9
5127,6
5128,3
5129,8
5130,8
5131,1
5132,1
5133,8
5134,8
5135,2
5136,1
5137,3
5138,3
5139,8
5140,3
5141,9
5142,5
5143,2
5144,6
5145,4
5146,9
5147,6
5148,3
5149,8
5150,2
5151,3
5152,3
5153,3
5154,4
5155,1
5156,9
5157,2
5158,3
5159,3
5160,9
5161,8
5162,3
5163,4
5164,7
5165,9
5166,2
5167,8
5168,3
5169,6
5170,8
5171,8
5172,3
5173,8
5174,4
5175,9
5176,9
5177,8
5178,8
5179,2
5180,3
5181,8
5182,6
5183,1
5184,3
5185,3
5186,3
5187,3
5188,2
5189,1
5190,8
5191,9
5192,3
5193,4
5194,6
5195,7
5196,3
5197,6
5198,2
5199,1
5200,6
5201,3
5202,9
5203,3
5204,3
5205,6
5206,6
5207,3
5208,3
5209,2
5210,6
5211,3
5212,6
5213,2
5214,6
5215,9
5216,3
5217,2
5218,7
5219,7
5220,1
5221,1
5222,1
5223,9
5224,2
5225,9
5226,2
5227,4
5228,1
5229,3
5230,1
5231,1
5232,3
5233,8
5234,1
5235,4
5236,3
5237,8
5238,9
5239,1
5240,1
5241,3
5242,1
5243,8
5244,4
5245,8
5246,3
5247,3
5248,1
5249,1
5250,3
5251,2
5252,3
5253,8
5254,8
5255,3
5256,3
5257,1
5258,3
5259,2
5260,2
5261,3
5262,2
5263,3
5264,1
5265,4
5266,3
5267,9
5268,7
5269,2
5270,3
5271,8
5272,3
5273,3
5274,2
5275,1
5276,3
5277,2
5278,8
5279,6
5280,1
5281,8
5282,7
5283,8
5284,9
5285,2
5286,8
5287,1
5288,2
5289,3
5290,2
5291,9
5292,8
5293,8
5294,9
5295,8
5296,8
5297,9
5298,2
5299,4
5300,1
5301,2
5302,2
5303,3
5304,3
5305,1
5306,2
5307,3
5308,3
5309,4
5310,3
5311,1
5312,2
5313,3
5314,3
5315,4
5316,2
5317,1
5318,2
5319,3
5320,1
5321,2
5322,8
5323,6
5324,2
5325,6
5326,2
5327,2
5328,3
5329,4
5330,2
5331,2
5332,3
5333,3
5334,1
5335,2
5336,6
5337,1
5338,3
5339,9
5340,2
5341,2
5342,2
5343,8
5344,3
5345,1
5346,3
5347,1
5348,3
5349,3
5350,3
5351,1
5352,8
5353,2
5354,1
5355,3
5356,6
5357,4
5358,3
5359,8
5360,1
5361,2
5362,2
5363,3
5364,3
5365,1
5366,4
5367,3
5368,3
5369,3
5370,2
5371,9
5372,3
5373,2
5374,3
5375,2
5376,3
5377,3
5378,2
5379,1
5380,1
5381,7
5382,5
5383,2
5384,7
5385,3
5386,2
5387,4
5388,2
5389,3
5390,9
5391,3
5392,1
5393,1
5394,9
5395,2
5396,3
5397,1
5398,2
5399,2
5400,1
5401,1
5402,3
5403,1
5404,8
5405,9
5406,7
5407,2
5408,2
5409,2
5410,2
5411,2
5412,8
5413,3
5414,2
5415,3
5416,1
5417,3
5418,3
5419,9
5420,2
5421,3
5422,2
5423,1
5424,3
5425,9
5426,3
5427,2
5428,3
5429,2
5430,1
5431,3
5432,6
5433,3
5434,1
5435,3
5436,2
5437,4
5438,2
5439,9
5440,7
5441,8
5442,6
5443,9
5444,7
5445,1
5446,3
5447,1
5448,3
5449,8
5450,4
5451,8
5452,6
5453,3
5454,9
5455,3
5456,7
5457,6
5458,4
5459,9
5460,2
5461,8
5462,3
5463,8
5464,3
5465,3
5466,3
5467,3
5468,2
5469,1
5470,9
5471,3
5472,8
5473,3
5474,2
5475,3
5476,1
5477,3
5478,8
5479,4
5480,3
5481,3
5482,3
5483,6
5484,8
5485,9
5486,9
5487,2
5488,2
5489,3
5490,1
5491,2
5492,8
5493,9
5494,1
5495,3
5496,2
5497,3
5498,3
5499,1
5500,3
5501,1
5502,8
5503,3
5504,1
5505,3
5506,2
5507,2
5508,1
5509,3
5510,3
5511,8
5512,4
5513,2
5514,2
5515,6
5516,2
5517,5
5518,3
5519,8
5520,8
5521,2
5522,2
5523,2
5524,1
5525,3
5526,3
5527,2
5528,3
5529,9
5530,3
5531,3
5532,9
5533,9
5534,2
5535,2
5536,9
5537,6
5538,1
5539,9
5540,7
5541,3
5542,9
5543,9
5544,3
5545,3
5546,4
5547,2
5548,4
5549,2
5550,3
5551,1
5552,3
5553,3
5554,3
5555,2
5556,3
5557,2
5558,2
5559,3
5560,3
5561,9
5562,8
5563,1
5564,3
5565,7
5566,1
5567,1
5568,9
5569,2
5570,6
5571,2
5572,3
5573,2
5574,2
5575,1
5576,2
5577,2
5578,8
5579,9
5580,1
5581,8
5582,9
5583,3
5584,3
5585,4
5586,3
5587,4
5588,2
5589,2
5590,6
5591,3
5592,2
5593,1
5594,6
5595,6
5596,8
5597,6
5598,3
5599,2
5600,2
5601,7
5602,3
5603,9
5604,2
5605,2
5606,8
5607,2
5608,9
5609,8
5610,8
5611,3
5612,3
5613,2
5614,8
5615,6
5616,7
5617,1
5618,7
5619,1
5620,3
5621,3
5622,2
5623,1
5624,8
5625,2
5626,9
5627,7
5628,9
5629,2
5630,3
5631,3
5632,6
5633,8
5634,9
5635,8
5636,9
5637,4
5638,9
5639,3
5640,6
5641,9
5642,2
5643,3
5644,9
5645,2
5646,6
5647,2
5648,3
5649,1
5650,1
5651,3
5652,3
5653,2
5654,2
5655,8
5656,3
5657,3
5658,2
5659,2
5660,3
5661,8
5662,8
5663,7
5664,9
5665,3
5666,3
5667,9
5668,2
5669,8
5670,1
5671,8
5672,8
5673,2
5674,1
5675,1
5676,1
5677,8
5678,3
5679,1
5680,3
5681,3
5682,2
5683,3
5684,3
5685,2
5686,2
5687,4
5688,2
5689,4
5690,2
5691,8
5692,3
5693,3
5694,2
5695,3
5696,2
5697,8
5698,4
5699,7
5700,3
5701,3
5702,9
5703,6
5704,9
5705,3
5706,3
5707,2
5708,3
5709,3
5710,3
5711,3
5712,3
5713,2
5714,7
5715,1
5716,3
5717,7
5718,3
5719,3
5720,9
5721,2
5722,3
5723,2
5724,2
5725,1
5726,3
5727,2
5728,1
5729,2
5730,9
5731,8
5732,9
5733,2
5734,2
5735,8
5736,2
5737,2
5738,1
5739,6
5740,1
5741,2
5742,3
5743,2
5744,7
5745,2
5746,9
5747,3
5748,1
5749,9
5750,3
5751,7
5752,2
5753,2
5754,9
5755,3
5756,2
5757,8
5758,8
5759,2
5760,1
5761,3
5762,2
5763,8
5764,8
5765,9
5766,7
5767,3
5768,6
5769,1
5770,1
5771,9
5772,2
5773,2
5774,3
5775,9
5776,2
5777,2
5778,1
5779,8
5780,9
5781,1
5782,1
5783,8
5784,9
5785,9
5786,3
5787,9
5788,3
5789,9
5790,5
5791,3
5792,6
5793,1
5794,2
5795,9
5796,3
